KEY , GAPS , MATCHES , ALL , OVERLAP_TYPE 
seq4_92-seq5_25,0.046175684,0.221325536,0.119326824,Bad Overlap
seq4_92-seq7_25,0.017992045,0.088546214,0.045892488,Bad Overlap
seq4_93-seq5_13,0.103018367,0.47170474,0.255656282,Bad Overlap
seq4_95-seq6_37,0.052953098,0.228841952,0.122436829,Bad Overlap
seq4_97-seq5_99,0.11450203,0.483483872,0,Bad Overlap
seq1_1-seq1_90,0.010458871,0.077253738,0.050365936,Good Overlap
seq1_2-seq4_84,0.061292729,0.293004535,0.176156462,Bad Overlap
seq1_3-seq9_70,0.040498743,0.181716939,0.096538746,Bad Overlap
seq1_4-seq1_95,0.030752076,0.172445505,0.110888664,Good Overlap
seq1_4-seq5_62,0.034525362,0.162836572,0.09547996,Bad Overlap
seq1_5-seq5_29,0.087208209,0.433518889,0.247146072,Bad Overlap
seq1_6-seq9_96,0.031612071,0.149080496,0.081471275,Bad Overlap
seq1_6-seq6_72,0.021204969,0.09711301,0.056015353,Bad Overlap
seq1_7-seq7_71,0.042253187,0.194302449,0.107099163,Bad Overlap
seq1_7-seq2_73,0.00865743,0.041544018,0.025205378,Bad Overlap
seq1_9-seq5_99,0.010392976,0.048625099,0.029268914,Bad Overlap
seq1_11-seq4_95,0.051972665,0.274173799,0.162662118,Bad Overlap
seq1_13-seq3_22,0.100486212,0.519337506,0.310842238,Bad Overlap
seq1_14-seq3_35,0.099969562,0.540642346,0.329160767,Bad Overlap
seq1_17-seq8_58,0.083919497,0.410854862,0.224550073,Bad Overlap
seq1_17-seq6_87,0.104506389,0.501307554,0.279856987,Bad Overlap
seq1_17-seq5_7,0.065256959,0.313445291,0.177673463,Bad Overlap
seq1_17-seq5_91,0.119472747,0.522350496,0.302282404,Bad Overlap
seq1_19-seq1_70,0.113558468,0.605655854,0.395949217,Good Overlap
seq1_23-seq1_91,0.051348565,0.299165273,0.19641028,Good Overlap
seq1_23-seq6_65,0.052298017,0.259579412,0.14859069,Bad Overlap
seq1_24-seq7_78,0.040846142,0.200226501,0.111754054,Bad Overlap
seq1_24-seq9_49,0.017759171,0.086271808,0.045574731,Bad Overlap
seq1_24-seq4_4,0.015261169,0.087692829,0.05474775,Bad Overlap
seq1_27-seq3_73,0.028070572,0.144193038,0.090301204,Bad Overlap
seq1_28-seq6_58,0.084546023,0.414064073,0.223412682,Bad Overlap
seq1_29-seq7_90,0.055997765,0.267388032,0,Bad Overlap
seq1_29-seq9_78,0.09669977,0.455963529,0,Bad Overlap
seq1_29-seq4_85,0.004734098,0.019295854,0.011897718,Bad Overlap
seq1_31-seq5_71,0.10913328,0.506545852,0.288974748,Bad Overlap
seq1_31-seq4_63,0.004752643,0.024504182,0.014876176,Bad Overlap
seq1_32-seq3_93,0.016927687,0.090296799,0.058016554,Bad Overlap
