KEY , GAPS , MATCHES , ALL , OVERLAP_TYPE 
seq4_92-seq5_25,0.059017681,0.225688063,0.123720868,Bad Overlap
seq4_92-seq7_25,0.023896079,0.090584949,0.047868022,Bad Overlap
seq4_93-seq5_13,0.135163949,0.482538285,0.266598515,Bad Overlap
seq4_95-seq6_37,0.071006098,0.233948029,0.127567075,Bad Overlap
seq4_97-seq5_99,0.143242193,0.492676296,0,Bad Overlap
seq1_1-seq1_90,0.013874723,0.078602608,0.052036026,Good Overlap
seq1_2-seq4_84,0.079211101,0.298785252,0.182669887,Bad Overlap
seq1_3-seq9_70,0.051601258,0.185687114,0.100446971,Bad Overlap
seq1_4-seq1_95,0.03931445,0.175351491,0.114413618,Good Overlap
seq1_4-seq5_62,0.045212133,0.165788085,0.09875078,Bad Overlap
seq1_5-seq5_29,0.110202405,0.44210312,0.256252529,Bad Overlap
seq1_6-seq9_96,0.039879185,0.151964568,0.084407188,Bad Overlap
seq1_6-seq6_72,0.027134093,0.099140512,0.058192466,Bad Overlap
seq1_7-seq7_71,0.053140571,0.197629227,0.110538924,Bad Overlap
seq1_7-seq2_73,0.011178137,0.042354207,0.026127056,Bad Overlap
seq1_9-seq5_99,0.013973575,0.049797393,0.030588466,Bad Overlap
seq1_11-seq4_95,0.065613392,0.279572963,0.168623072,Bad Overlap
seq1_13-seq3_22,0.130997336,0.530829089,0.323668637,Bad Overlap
seq1_14-seq3_35,0.138125513,0.554172338,0.344629746,Bad Overlap
seq1_17-seq8_58,0.111709687,0.420342753,0.234248988,Bad Overlap
seq1_17-seq6_87,0.135391507,0.51219112,0.291180823,Bad Overlap
seq1_17-seq5_7,0.084437799,0.320807482,0.185404967,Bad Overlap
seq1_17-seq5_91,0.157344679,0.534464644,0.315352402,Bad Overlap
seq1_19-seq1_70,0.146054772,0.618029899,0.41105493,Good Overlap
seq1_23-seq1_91,0.066844307,0.304831915,0.203413659,Good Overlap
seq1_23-seq6_65,0.069528628,0.265878353,0.155310167,Bad Overlap
seq1_24-seq7_78,0.053946954,0.204542816,0.116270483,Bad Overlap
seq1_24-seq9_49,0.023710118,0.088062167,0.047356673,Bad Overlap
seq1_24-seq4_4,0.019613114,0.089337768,0.056675461,Bad Overlap
seq1_27-seq3_73,0.038389257,0.147377018,0.094064824,Bad Overlap
seq1_28-seq6_58,0.108058611,0.422492685,0.231890395,Bad Overlap
seq1_29-seq7_90,0.073629017,0.273198508,0,Bad Overlap
seq1_29-seq9_78,0.124891209,0.465542436,0,Bad Overlap
seq1_29-seq4_85,0.006528799,0.019679348,0.012347269,Bad Overlap
seq1_31-seq5_71,0.144015544,0.519376852,0.30254502,Bad Overlap
seq1_31-seq4_63,0.006424035,0.02511514,0.01556919,Bad Overlap
seq1_32-seq3_93,0.023763849,0.092438049,0.060616825,Bad Overlap
seq1_33-seq7_47,0.115096459,0.475749025,0.26628664,Bad Overlap
seq1_33-seq9_37,0.077727678,0.286943618,0.158040211,Bad Overlap
seq1_34-seq8_19,0.051429627,0.187831986,0.106492447,Bad Overlap
seq1_36-seq3_73,0.138086931,0.561309787,0.34340062,Bad Overlap
seq1_39-seq3_51,0.128187059,0.576207424,0.358954845,Bad Overlap
seq1_39-seq6_70,0.013052322,0.053442218,0.031011582,Bad Overlap
seq1_40-seq4_58,0.131197585,0.542082896,0.324648178,Bad Overlap
seq1_40-seq5_82,0.139558814,0.526604791,0.309609925,Bad Overlap
seq1_42-seq6_18,0.011747633,0.05355491,0.031554657,Bad Overlap
seq1_43-seq4_78,0.073640305,0.282257698,0.170353634,Bad Overlap
seq1_43-seq7_35,0.13566132,0.513568763,0.291789134,Bad Overlap
seq1_44-seq2_85,0.051693602,0.217364831,0.139500978,Bad Overlap
seq1_44-seq1_53,0.103985287,0.471990538,0.318424667,Good Overlap
seq1_44-seq3_46,0.014533571,0.082481434,0.051796045,Bad Overlap
seq1_46-seq7_71,0.097935738,0.378208603,0.209606701,Bad Overlap
seq1_46-seq1_7,0.041359915,0.193331677,0.129883665,Good Overlap
seq1_46-seq2_73,0.012469777,0.059004716,0.037882661,Bad Overlap
seq1_50-seq2_68,0.121869717,0.565620251,0.354984223,Bad Overlap
seq1_50-seq7_79,0.116244703,0.517711771,0.300203399,Bad Overlap
seq1_51-seq3_84,0.061118539,0.244163726,0.150367865,Bad Overlap
seq1_51-seq4_56,0.014132003,0.061535755,0.036487241,Bad Overlap
seq1_52-seq4_88,0.141774463,0.547117941,0.326977948,Bad Overlap
seq1_52-seq7_74,0.055069543,0.196734265,0.111457793,Bad Overlap
seq1_52-seq9_35,0.056496892,0.214821613,0.115484775,Bad Overlap
seq1_53-seq2_85,0.043758046,0.198841124,0.127617804,Bad Overlap
seq1_53-seq3_46,0.022987343,0.111206187,0.069832035,Bad Overlap
seq1_54-seq4_53,0.127532197,0.543167012,0.323481995,Bad Overlap
seq1_54-seq6_3,0.068760962,0.288612134,0.16203387,Bad Overlap
seq1_55-seq8_74,0.101929776,0.378624987,0.212016476,Bad Overlap
seq1_55-seq3_74,0.093450058,0.382952512,0.23375012,Bad Overlap
seq1_57-seq7_52,0.123906586,0.466957789,0.263273028,Bad Overlap
seq1_58-seq9_98,0.038469522,0.137042161,0,Bad Overlap
seq1_58-seq5_77,0.01133515,0.043485654,0.026949491,Bad Overlap
seq1_58-seq6_84,0.005107101,0.01716967,0.01046504,Bad Overlap
seq1_59-seq1_90,0.10051082,0.60101758,0.405571795,Good Overlap
seq1_60-seq2_81,0.135124737,0.588081376,0.378357822,Bad Overlap
seq1_61-seq1_82,0.087744166,0.402567122,0.271172016,Good Overlap
seq1_63-seq8_93,0.131017519,0.446453777,0.248091114,Bad Overlap
seq1_63-seq8_44,0.128833336,0.503131111,0.282980189,Bad Overlap
seq1_64-seq5_14,0.055294971,0.199715273,0.114282648,Bad Overlap
seq1_66-seq1_86,0.003950073,0.021330965,0.015010668,Good Overlap
seq1_67-seq9_91,0.041864346,0.146053003,0.080428474,Bad Overlap
seq1_68-seq9_52,0.090612954,0.328785955,0.179891345,Bad Overlap
seq1_68-seq5_71,0.013582997,0.045214809,0.02541562,Bad Overlap
seq1_69-seq7_21,0.106031172,0.408349694,0.230481714,Bad Overlap
seq1_71-seq7_78,0.027125617,0.105340559,0.058908794,Bad Overlap
seq1_71-seq3_71,0.121783365,0.468442805,0.278612133,Bad Overlap
seq1_72-seq5_98,0.145330823,0.544305869,0.326180101,Bad Overlap
seq1_72-seq9_41,0.062330393,0.238912025,0.12779247,Bad Overlap
