KEY , GAPS , MATCHES , ALL , OVERLAP_TYPE 
seq4_92-seq5_25,0.039700592,0.218681499,0.116699314,Bad Overlap
seq4_92-seq7_25,0.015833803,0.087643255,0.04502977,Bad Overlap
seq4_93-seq5_13,0.087436873,0.465281195,0.249267647,Bad Overlap
seq4_95-seq6_37,0.045519419,0.22625276,0.119872624,Bad Overlap
seq4_97-seq5_99,0.09663482,0.476634326,0,Bad Overlap
seq1_1-seq1_90,0.009165834,0.07663184,0.049604558,Good Overlap
seq1_2-seq4_84,0.051697998,0.289229032,0.171961446,Bad Overlap
seq1_3-seq9_70,0.035158518,0.179439091,0.094328369,Bad Overlap
seq1_4-seq1_95,0.025599546,0.170307431,0.108328037,Good Overlap
seq1_4-seq5_62,0.02972158,0.161219571,0.093709842,Bad Overlap
seq1_5-seq5_29,0.074443043,0.427808186,0.241171665,Bad Overlap
seq1_6-seq9_96,0.027163042,0.147227049,0.079609707,Bad Overlap
seq1_6-seq6_72,0.017192608,0.095420797,0.054227426,Bad Overlap
seq1_7-seq7_71,0.036569193,0.192234834,0.104986718,Bad Overlap
seq1_7-seq2_73,0.007289902,0.041007665,0.024603644,Bad Overlap
seq1_9-seq5_99,0.008688189,0.04792906,0.028498116,Bad Overlap
seq1_11-seq4_95,0.045250729,0.27101482,0.159220071,Bad Overlap
seq1_13-seq3_22,0.086093514,0.512753047,0.303600293,Bad Overlap
seq1_14-seq3_35,0.084769197,0.533867631,0.321538558,Bad Overlap
seq1_17-seq8_58,0.071769008,0.405757905,0.219417754,Bad Overlap
seq1_17-seq6_87,0.089430103,0.494870783,0.273256866,Bad Overlap
seq1_17-seq5_7,0.057665076,0.309971877,0.174077893,Bad Overlap
seq1_17-seq5_91,0.098747255,0.514129394,0.293557265,Bad Overlap
seq1_19-seq1_70,0.095784272,0.597427112,0.386048053,Good Overlap
seq1_23-seq1_91,0.043544563,0.295676788,0.192155598,Good Overlap
seq1_23-seq6_65,0.043865462,0.25576501,0.144587872,Bad Overlap
seq1_24-seq7_78,0.034406914,0.197610223,0.109056736,Bad Overlap
seq1_24-seq9_49,0.014837531,0.085176708,0.044500441,Bad Overlap
seq1_24-seq4_4,0.01363963,0.086966173,0.053906021,Bad Overlap
seq1_27-seq3_73,0.022912535,0.142164882,0.087941131,Bad Overlap
