KEY , ALPHA1 , ALPHA2 , GAPS , MATCHES , ALL , OVERLAP_TYPE ,R1L,R1S,R1E,R2L,R2S,R2E
origSeq_84-seq10_3,0.1080592,0.106904808,0.009348098,0.050897158,0.02700435,Bad Overlap,15483,12,1684,1666,2,1654
seq6_29-seq6_8,0.109153352,0.109419316,0.009699292,0.060983574,0.037078479,Good Overlap,5221,8,739,2224,1484,2217
seq10_26-seq1_93,0.110028688,0.110507138,0.009704532,0.05062746,0.02640597,Bad Overlap,1876,26,1867,17969,14882,16732
seq2_6-seq5_98,0.111254388,0.108444125,0.012174812,0.058203899,0.033228878,Bad Overlap,1577,16,1569,26069,12398,13907
seq10_96-seq5_14,0.111988055,0.112328884,0.009894115,0.04706471,0.022649135,Bad Overlap,26720,3281,5906,2645,1,2635
seq3_58-seq5_43,0.112841439,0.112693653,0.009845714,0.057935805,0.032779252,Bad Overlap,7952,9,1364,5425,4065,5418
seq1_51-seq4_56,0.113617214,0.110330471,0.00913818,0.059433527,0.034211993,Bad Overlap,11253,1,1754,5890,4177,5873
origSeq_46-seq2_37,0.11374884,0.113337459,0.009833811,0.063413009,0.038756429,Bad Overlap,11082,12,1483,3336,1862,3327
origSeq_66-seq4_67,0.11410382,0.115187087,0.009688178,0.066345469,0.041317537,Bad Overlap,8167,13,1411,5520,4098,5511
seq1_95-seq9_56,0.116405465,0.116076416,0.010744551,0.05453999,0.028968971,Bad Overlap,17691,36,3163,12343,9208,12325
seq5_58-seq8_90,0.116846715,0.117104495,0.01055795,0.052845594,0.027014908,Bad Overlap,2422,39,2040,16758,14742,16748
seq4_84-seq6_32,0.119790833,0.117860963,0.011107546,0.054245666,0.027913834,Bad Overlap,11128,5,2250,9833,7618,9822
seq3_12-seq8_91,0.121711064,0.125106833,0.011780404,0.056089706,0.028363639,Bad Overlap,3051,0,2979,30207,21425,24499
seq3_94-seq4_2,0.122641509,0.123104312,0.010518779,0.064429585,0.036988533,Bad Overlap,27732,12584,14443,1882,10,1877
seq3_91-seq4_93,0.125173592,0.12625581,0.011158226,0.063503402,0.035374835,Bad Overlap,9158,6,3341,20866,17491,20859
seq1_1-seq1_90,0.125298013,0.125298013,0.009165834,0.07663184,0.049604558,Good Overlap,962,5,951,15832,6593,7539
seq1_77-seq5_86,0.127650991,0.128203651,0.011597731,0.067357356,0.038573324,Bad Overlap,7032,5,2220,12571,10325,12551
seq10_92-seq1_54,0.128112982,0.127893044,0.010513773,0.058452916,0.02993228,Bad Overlap,10709,2,2034,7201,5154,7182
seq2_46-seq3_36,0.12830432,0.129426916,0.012522614,0.086762313,0.06073815,Bad Overlap,6307,4767,4966,1288,11,212
origSeq_74-seq2_97,0.129494366,0.129568294,0.01200395,0.075121028,0.046805437,Bad Overlap,10421,1,4575,29541,24902,29479
origSeq_58-seq5_89,0.134306416,0.135894345,0.012913834,0.073119338,0.042916386,Bad Overlap,9562,1,2559,12085,9485,12078
seq9_63-seq9_95,0.136702128,0.13975265,0.011672891,0.086664506,0.057874846,Good Overlap,1551,4,1546,18304,9733,11315
seq2_92-seq6_83,0.136851325,0.136378574,0.010851722,0.070206291,0.039616914,Bad Overlap,2022,11,1261,10756,7123,8368
seq4_48-seq8_91,0.136943367,0.13171615,0.012402073,0.061315954,0.031154835,Bad Overlap,6298,2,4415,30207,25929,30148
seq3_89-seq5_1,0.137248817,0.138652208,0.012233601,0.068303465,0.037529163,Bad Overlap,12909,22,1791,1812,2,1792
origSeq_71-seq2_62,0.137333216,0.143684921,0.014021387,0.076441864,0.044998654,Bad Overlap,11701,0,3129,14392,11083,14381
seq6_5-seq7_90,0.137606116,0.138486813,0.011319013,0.059449273,0.02890974,Bad Overlap,3141,41,3137,22962,19399,22518
seq6_53-seq6_75,0.13789018,0.138988759,0.012503301,0.086442987,0.057309958,Good Overlap,6400,0,3026,18617,15545,18599
