KEY , GAPS , MATCHES , ALL , OVERLAP_TYPE 
seq4_92-seq5_25,0.035640229,0.216812751,0.114858498,Bad Overlap
seq4_92-seq7_25,0.014350799,0.086954614,0.044376882,Bad Overlap
seq4_93-seq5_13,0.077803955,0.460762409,0.244817843,Bad Overlap
seq4_95-seq6_37,0.040712442,0.224361252,0.118015243,Bad Overlap
seq4_97-seq5_99,0.085910402,0.471942042,0,Bad Overlap
seq1_1-seq1_90,0.00820693,0.076114942,0.048975873,Good Overlap
seq1_2-seq4_84,0.045843986,0.28659321,0.169060449,Bad Overlap
seq1_3-seq9_70,0.031552852,0.177715376,0.092671221,Bad Overlap
seq1_4-seq1_95,0.022724074,0.168932484,0.106696092,Good Overlap
seq1_4-seq5_62,0.02663192,0.160045112,0.092433867,Bad Overlap
seq1_5-seq5_29,0.066960166,0.424027736,0.237253516,Bad Overlap
seq1_6-seq9_96,0.024347111,0.145904046,0.07829299,Bad Overlap
seq1_6-seq6_72,0.014884889,0.094275124,0.053032051,Bad Overlap
seq1_7-seq7_71,0.033324005,0.190916547,0.103650025,Bad Overlap
seq1_7-seq2_73,0.006587402,0.040694798,0.024255744,Bad Overlap
seq1_9-seq5_99,0.007721705,0.047476364,0.028001877,Bad Overlap
seq1_11-seq4_95,0.040902847,0.268733689,0.156755521,Bad Overlap
seq1_13-seq3_22,0.076781336,0.507931061,0.298346526,Bad Overlap
seq1_14-seq3_35,0.075435847,0.529127512,0.316254536,Bad Overlap
seq1_17-seq8_58,0.063736703,0.401932188,0.215601393,Bad Overlap
seq1_17-seq6_87,0.079877707,0.490255371,0.268568824,Bad Overlap
seq1_17-seq5_7,0.052712266,0.30747401,0.171512866,Bad Overlap
seq1_17-seq5_91,0.086310997,0.508399267,0.287545165,Bad Overlap
seq1_19-seq1_70,0.084822597,0.591620294,0.379130491,Good Overlap
seq1_23-seq1_91,0.038717378,0.293215271,0.189179499,Good Overlap
seq1_23-seq6_65,0.038684246,0.253072648,0.141792679,Bad Overlap
seq1_24-seq7_78,0.0303869,0.195736794,0.107143984,Bad Overlap
seq1_24-seq9_49,0.013276455,0.084506374,0.043848723,Bad Overlap
seq1_24-seq4_4,0.012517782,0.086415019,0.053271615,Bad Overlap
seq1_27-seq3_73,0.019853472,0.140750594,0.086312604,Bad Overlap
seq1_28-seq6_58,0.066848113,0.406153846,0.215588378,Bad Overlap
seq1_29-seq7_90,0.042190963,0.261508452,0,Bad Overlap
seq1_29-seq9_78,0.074376362,0.446340773,0,Bad Overlap
seq1_29-seq4_85,0.002804386,0.018687087,0.011200187,Bad Overlap
seq1_31-seq5_71,0.081158004,0.493193944,0.275154965,Bad Overlap
