KEY	ERROR	SCORE	OVERLAP TYPE
seq1_24-seq9_49	No error	0.538570906	Bad Overlap
seq1_24-seq4_4	No error	0.64523458	Bad Overlap
seq1_27-seq3_73	No error	0.641646906	Bad Overlap
seq1_28-seq6_58	No error	0.552303038	Bad Overlap
seq1_29-seq7_90	No error	0.5646446	Bad Overlap
seq1_29-seq9_78	No error	0.536886068	Bad Overlap
seq1_29-seq4_85	No error	0.623528633	Bad Overlap
seq1_31-seq5_71	No error	0.583447383	Bad Overlap
seq1_31-seq4_63	No error	0.624314323	Bad Overlap
seq1_32-seq3_93	No error	0.659739851	Bad Overlap
seq1_33-seq7_47	No error	0.564704316	Bad Overlap
seq1_33-seq9_37	No error	0.551786489	Bad Overlap
seq1_34-seq8_19	No error	0.569007915	Bad Overlap
seq1_36-seq3_73	No error	0.61836231	Bad Overlap
seq1_39-seq3_51	No error	0.632398761	Bad Overlap
seq1_39-seq6_70	No error	0.586055549	Bad Overlap
seq1_40-seq4_58	No error	0.606052523	Bad Overlap
seq1_40-seq5_82	No error	0.591260371	Bad Overlap
seq1_42-seq6_18	No error	0.596089302	Bad Overlap
seq1_43-seq4_78	No error	0.607349999	Bad Overlap
seq1_43-seq7_35	No error	0.571231959	Bad Overlap
seq1_44-seq2_85	No error	0.649552084	Bad Overlap
seq1_44-seq1_53	No error	0.686771239	Good Overlap
seq1_44-seq3_46	No error	0.646286893	Bad Overlap
seq1_46-seq7_71	No error	0.557107766	Bad Overlap
seq1_46-seq1_7	No error	0.683621504	Good Overlap
seq1_46-seq2_73	No error	0.655631616	Bad Overlap
seq1_50-seq2_68	No error	0.638441076	Bad Overlap
seq1_50-seq7_79	No error	0.588352863	Bad Overlap
seq1_51-seq3_84	No error	0.621732308	Bad Overlap
seq1_51-seq4_56	No error	0.60065211	Bad Overlap
seq1_52-seq4_88	No error	0.601136915	Bad Overlap
seq1_52-seq7_74	No error	0.567091946	Bad Overlap
seq1_52-seq9_35	No error	0.539407396	Bad Overlap
seq1_53-seq2_85	No error	0.652246314	Bad Overlap
seq1_53-seq3_46	No error	0.640481506	Bad Overlap
seq1_54-seq4_53	No error	0.603344154	Bad Overlap
seq1_54-seq6_3	No error	0.569280208	Bad Overlap
seq1_55-seq8_74	No error	0.561911951	Bad Overlap
seq1_55-seq3_74	No error	0.617508209	Bad Overlap
seq1_57-seq7_52	No error	0.566823723	Bad Overlap
seq1_58-seq9_98	No error	0.541580058	Bad Overlap
seq1_58-seq5_77	No error	0.623837806	Bad Overlap
seq1_58-seq6_84	No error	0.608143306	Bad Overlap
seq1_59-seq1_90	No error	0.697087855	Good Overlap
seq1_60-seq2_81	No error	0.653292982	Bad Overlap
seq1_61-seq1_82	No error	0.685161485	Good Overlap
seq1_63-seq8_93	No error	0.554644148	Bad Overlap
seq1_63-seq8_44	No error	0.566144544	Bad Overlap
seq1_64-seq5_14	No error	0.573581987	Bad Overlap
seq1_66-seq1_86	No error	0.717029598	Good Overlap
seq1_67-seq9_91	No error	0.550340766	Bad Overlap
seq1_68-seq9_52	No error	0.547586895	Bad Overlap
seq1_68-seq5_71	No error	0.561113534	Bad Overlap
seq1_69-seq7_21	No error	0.567437614	Bad Overlap
seq1_71-seq7_78	No error	0.56293757	Bad Overlap
seq1_71-seq3_71	No error	0.599226486	Bad Overlap
seq1_72-seq5_98	No error	0.602007242	Bad Overlap
seq1_72-seq9_41	No error	0.537534699	Bad Overlap
seq1_73-seq7_81	No error	0.565230664	Bad Overlap
seq1_73-seq8_75	No error	0.540566465	Bad Overlap
seq1_74-seq9_76	No error	0.543865437	Bad Overlap
seq1_74-seq5_24	No error	0.587396387	Bad Overlap
seq1_74-seq9_32	No error	0.556986807	Bad Overlap
seq1_76-seq8_89	No error	0.558530984	Bad Overlap
seq1_76-seq6_47	No error	0.609441922	Bad Overlap
seq1_76-seq7_69	No error	0.577783061	Bad Overlap
seq1_77-seq5_86	No error	0.591816168	Bad Overlap
seq1_78-seq4_16	No error	0.608018553	Bad Overlap
seq1_79-seq6_75	No error	0.558067045	Bad Overlap
seq1_80-seq2_96	No error	0.641107082	Bad Overlap
seq1_80-seq7_92	No error	0.5742397	Bad Overlap
seq1_81-seq5_66	No error	0.587853745	Bad Overlap
seq1_81-seq8_27	No error	0.52570299	Bad Overlap
seq1_81-seq5_63	No error	0.587021626	Bad Overlap
