"KEY 	 GAPS 	 MATCHES 	 ALL 	 OVERLAP_TYPE "
"seq5_1-seq8_92	0.021904289911220335677	0.1091385839306046227	0.054179760295968570364	Bad Overlap"
"seq5_16-seq8_86	0.033164112363451458216	0.15279636493407634085	0.077690142008116783955	Bad Overlap"
"seq5_20-seq8_54	0.047396198962568426268	0.2293323141828399542	0.11347942375349871429	Bad Overlap"
"seq5_21-seq8_17	0.060316048081535714364	0.33164857138711934198	0.17592774906365482747	Bad Overlap"
"seq5_23-seq5_96	0.049701700150688902485	0.28412788801717457683	0.18508630714684077161	Good Overlap"
"seq5_24-seq9_32	0.027852168296940823794	0.14315005669073642648	0.071828641966773536725	Bad Overlap"
"seq5_31-seq6_83	0.030875197030727016184	0.15339781521605597377	0.081445121616812655295	Bad Overlap"
"seq5_32-seq7_89	0.013369011714167488103	0.06501006989661802762	0.03275492013831649487	Bad Overlap"
"seq5_58-seq8_90	0.011075370645695639441	0.0530610118160617681	0.027218242515478157397	Bad Overlap"
"seq5_58-seq8_88	0.022456991146374322381	0.10028045187769554965	0.049053810958915674572	Bad Overlap"
"seq5_60-seq9_45	0.013105253686874249866	0.06168482502249483838	0.029885355665087613194	Bad Overlap"
"seq5_62-seq6_21	0.09222036724955141846	0.46384553021807764747	0.24199012036684724543	Bad Overlap"
"seq5_62-seq9_56	0.016929847092755739928	0.07934129366810142542	0.03900945381602756106	Bad Overlap"
"seq5_63-seq5_66	0.099232512370561841716	0.58486543868142167025	0.37478900543287751472	Good Overlap"
"seq5_67-seq7_63	0.10104722074351531344	0.44189696135431916758	0.22259770534242115816	Bad Overlap"
"seq5_69-seq7_89	0.0787987773614581021	0.37509735047179708242	0.0	Bad Overlap"
"seq5_69-seq5_75	0.09681089209620213699	0.60833020404641971094	0.3986265275028383721	Good Overlap"
"seq5_69-seq9_67	0.033000854434395261157	0.14836752405371348085	0.07317702068158575609	Bad Overlap"
"seq5_75-seq7_89	0.053260834891554158325	0.0	0.0	Bad Overlap"
"seq5_77-seq7_91	0.055171823080475215977	0.0	0.0	Bad Overlap"
"seq5_77-seq9_98	0.06740284540760682863	0.0	0.0	Bad Overlap"
"seq5_77-seq6_84	0.08472175489050763366	0.39268626253723888206	0.0	Bad Overlap"
"seq5_77-seq9_57	0.07740764243241418424	0.3495348231839301202	0.16927044512337711	Bad Overlap"
"seq5_79-seq7_76	0.058331355207251862057	0.27385813392402558902	0.0	Bad Overlap"
"seq5_83-seq7_16	0.05201302711725130515	0.26356076550195036356	0.13786071051946701816	Bad Overlap"
"seq5_86-seq7_13	0.020767110287048120927	0.100927969371610477904	0.052554827796213976435	Bad Overlap"
"seq5_87-seq8_86	0.04131185744594271068	0.19973726967387738297	0.0	Bad Overlap"
"seq5_88-seq5_92	0.048793303389087960107	0.31033056067926855079	0.20464830880579064541	Good Overlap"
"seq5_88-seq9_42	0.04004466615975704868	0.18508820273601601106	0.09103113066880228132	Bad Overlap"
"seq5_89-seq6_73	0.06461239456554854643	0.30827819016656545485	0.0	Bad Overlap"
"seq5_90-seq6_52	0.02158823098021845323	0.101776971646059128965	0.05235577808579793629	Bad Overlap"
"seq5_90-seq6_46	0.015747038354229622742	0.077459803155190558686	0.040746275104896717677	Bad Overlap"
"seq5_90-seq9_75	0.017240181136542990691	0.08434437026605272131	0.041675451035240077293	Bad Overlap"
"seq5_91-seq6_87	0.04010038230557802149	0.19210070973263389067	0.099893980549563837055	Bad Overlap"
"seq5_92-seq9_42	0.05356200387862759851	0.23271874451145961654	0.0	Bad Overlap"
"seq5_93-seq8_82	0.026706615212757990003	0.12429043788221816963	0.062085967025353863582	Bad Overlap"
"seq5_94-seq8_76	0.08073063417371846121	0.43246991159927484266	0.21699184045224777357	Bad Overlap"
"seq5_95-seq7_59	0.06829366831314039537	0.32640361682098351044	0.16262457337347141358	Bad Overlap"
"seq5_98-seq9_41	0.007071969732786034851	0.03406142821430073416	0.016561452401547815845	Bad Overlap"
"seq5_100-seq7_94	0.092599452340305181526	0.0	0.0	Bad Overlap"
"seq5_100-seq6_55	0.07594776871976010781	0.3818307561032012471	0.19843636038386273308	Bad Overlap"
"seq4_4-seq9_49	0.027562355627127411069	0.12422530503265070864	0.063530946180123576514	Bad Overlap"
"seq4_10-seq6_1	0.05339364264491151116	0.26255181262410676106	0.14050498891533442844	Bad Overlap"
"seq4_13-seq6_66	0.022388791007324719741	0.11643141778237900866	0.062379588106266028385	Bad Overlap"
"seq4_14-seq5_89	0.040830879092858570555	0.2260475394710739619	0.1217232824103709016	Bad Overlap"
"seq4_14-seq6_73	0.020180412585031522556	0.102689694307636780595	0.054809608413401275384	Bad Overlap"
"seq4_27-seq7_41	0.10113991499477095886	0.46481657494947622053	0.2433230211271523163	Bad Overlap"
"seq4_27-seq6_73	0.097335168404873313234	0.45878264005563561164	0.24056366088653074063	Bad Overlap"
"seq4_30-seq9_95	0.08435715486923643211	0.43326555231395552615	0.22151305759302113583	Bad Overlap"
"seq4_32-seq5_5	0.054411538543055477728	0.2661095883050109275	0.14348927573028918297	Bad Overlap"
"seq4_33-seq8_84	0.08779745485675002868	0.4371192006539939292	0.2182106714263489355	Bad Overlap"
"seq4_35-seq4_97	0.007121121055507255979	0.043366315610696411446	0.029241420692898715147	Good Overlap"
"seq4_38-seq7_71	0.029014243431012076259	0.14793941136480473322	0.07838105200087889211	Bad Overlap"
"seq4_40-seq4_67	0.055883220158202339338	0.34510743111043791932	0.22768481043546425631	Good Overlap"
"seq4_41-seq5_97	0.027622561325314572336	0.14100768542884588667	0.07612838444887416492	Bad Overlap"
"seq4_42-seq9_81	0.05702122717480323298	0.27048290822670886593	0.0	Bad Overlap"
