KEY 	 ALPHA1 	 ALPHA2 	 GAPS 	 MATCHES 	 ALL 	 OVERLAP_TYPE 
origSeq_1-origSeq_192	0.13007021891780257	0.13168418882704597	0.01300351872672622789	0.07981810745079531491	0.051770805613781797094	Good Overlap
origSeq_1-origSeq_66	0.45710533994747593	0.4586061399679907	0.040676392008599968967	0.2770841346682489766	0.17992598449202952726	Good Overlap
origSeq_1-origSeq_124	0.13393730594189954	0.13404780130985797	0.012104272517097102437	0.07972433813883374536	0.05096509998780434724	Good Overlap
origSeq_1-origSeq_89	0.4183604792031229	0.4178903408325475	0.03853588329439931231	0.25264640860487795298	0.16404603339503663829	Good Overlap
origSeq_1-origSeq_90	0.29888878336024316	0.29728700618752973	0.029866693830512493306	0.1794325297482498483	0.11561224472250128965	Good Overlap
origSeq_1-origSeq_70	0.4711077844311377	0.47087015126553844	0.046313829003932944606	0.28267919576567095832	0.18244292138785581182	Good Overlap
origSeq_1-origSeq_165	0.25254631486085494	0.2531452840772498	0.023560472045848626007	0.15012677874271637236	0.09562679069716407412	Good Overlap
origSeq_1-origSeq_153	0.43967566056200197	0.4393621485522451	0.04368247159644103751	0.2598774121710612924	0.16659379078504614954	Good Overlap
origSeq_1-origSeq_100	0.404807815914642	0.4031967001804589	0.04181559579238412775	0.24174669759895067673	0.15582445877624129211	Good Overlap
origSeq_1-origSeq_134	0.2844360086767896	0.28604923798358733	0.027243607029108064653	0.16624275678104414039	0.10472756007941691032	Good Overlap
origSeq_1-origSeq_104	0.7370023419203747	0.7374327799859715	0.0714506408675094916	0.42876293646490145386	0.2703345915282005926	Good Overlap
origSeq_1-origSeq_139	0.5075806451612903	0.5048653908530651	0.049030802030300710052	0.29624227746131582157	0.18718026682969033376	Good Overlap
origSeq_1-origSeq_86	0.990975935828877	0.9909729187562688	0.10400644143498247366	0.6046653153289276874	0.39683811979759980564	Good Overlap
origSeq_1-origSeq_181	0.5141409187510217	0.5109428994569689	0.048303562142933427587	0.2993371664092283434	0.18959003495853998758	Good Overlap
origSeq_1-origSeq_186	0.15886015974008394	0.15863236289776575	0.014600312067266678053	0.095627120126576763467	0.06202848520873604403	Good Overlap
origSeq_1-origSeq_145	0.9765494137353434	0.9765297569153395	0.105788658171894983125	0.593503626959564539	0.3880613533112450464	Good Overlap
origSeq_1-origSeq_45	0.17156208277703605	0.17036211699164344	0.017984830972158263838	0.101731240331956131115	0.065208839027497994775	Good Overlap
origSeq_1-origSeq_155	0.08363383311191244	0.08357585726939137	0.0068032502623341472573	0.04975327041971721883	0.031881019206209245457	Good Overlap
origSeq_1-origSeq_53	0.9659574468085106	0.9664218258132214	0.10253657364905715395	0.54748663847140873926	0.3355013585960216562	Good Overlap
origSeq_1-origSeq_164	0.940677966101695	0.9422680412371134	0.09596223999523220121	0.49868643683706886333	0.29651996582277824824	Good Overlap
origSeq_2-origSeq_93	0.3136209403780902	0.3133713177354831	0.025877597129228280785	0.19370022066813055065	0.1281429178817518408	Good Overlap
origSeq_2-origSeq_68	0.6614052953156823	0.662007623888183	0.062353219112749818752	0.40422448765920109147	0.2650831850617508193	Good Overlap
origSeq_2-origSeq_80	0.12828805519620526	0.12772384034519957	0.011833165602096624603	0.07708201232117164635	0.04988606170464705408	Good Overlap
origSeq_2-origSeq_62	0.9721448467966574	0.9725274725274725	0.114934156845469094935	0.6335156330447443678	0.43611176742345423627	Good Overlap
origSeq_3-origSeq_51	0.6759406465288819	0.677733860342556	0.057481443277706000566	0.41823449456957095076	0.27379838554306049317	Good Overlap
origSeq_3-origSeq_73	0.6535513541134389	0.652752880921895	0.06120052804336797166	0.39791793962304618376	0.26019164818036317083	Good Overlap
origSeq_3-origSeq_34	0.9814200398142005	0.9813829787234043	0.086403583506925690745	0.60048899893045379746	0.39106753431992270813	Good Overlap
origSeq_3-origSeq_85	0.9301587301587302	0.9289558665231432	0.081675530842563467466	0.6051055009273205067	0.41347118227668165324	Good Overlap
origSeq_5-origSeq_95	0.0945765725716826	0.09628397115917915	0.009431753229084924999	0.06075798433079329877	0.04081642377810619207	Good Overlap
origSeq_5-origSeq_97	0.26216882316697476	0.2662377450980392	0.02372173105483041724	0.16125358168986431647	0.104739649114618946505	Good Overlap
origSeq_5-origSeq_60	0.1518418688230009	0.15153694049973035	0.013346939862730869074	0.09225502207442579958	0.059785160147177555675	Good Overlap
origSeq_5-origSeq_57	0.2136513575234712	0.2148467190271092	0.02441821368537891065	0.12859981174037865677	0.0825980706311547452	Good Overlap
origSeq_5-origSeq_82	0.09335963182117028	0.0944511327569224	0.010506074423881748443	0.055442493459087082253	0.03527779164904044494	Good Overlap
origSeq_5-origSeq_96	0.06872630475114948	0.06902669139585517	0.006735865406056170322	0.040357898294581989824	0.025695391153752567023	Good Overlap
origSeq_5-origSeq_76	0.2957306490801805	0.2967071057192374	0.026760036355801584552	0.16670331674819987915	0.10254800620418767435	Good Overlap
origSeq_5-origSeq_59	0.02682344295425317	0.026376252182703796	0.0026792881173653214517	0.016885211397468143776	0.011317586113322472976	Good Overlap
origSeq_6-origSeq_89	0.8331332533013205	0.8321256038647343	0.07691642389316166225	0.5311837015320227172	0.36070013460754355691	Good Overlap
origSeq_6-origSeq_90	0.28862549386566855	0.28415986608077004	0.02890868686662148019	0.1858698146015195773	0.12614654089491276494	Good Overlap
origSeq_6-origSeq_91	0.1113607188703466	0.11086136308902625	0.009783629440016018581	0.07082482538323560518	0.04752373383802508583	Good Overlap
