KEY 	 ALPHA 	 GAPS 	 MATCHES 	 ALL 	 OVERLAP_TYPE 
origSeq_114:seq5_123	1.0	0.87151468045853295783	0.87151468045853295783	0.66784402701063808093	NA
origSeq_114:seq5_177	0.9992553983618764	0.8585980173779120381	0.8585980173779120381	0.6903857674876127675	NA
origSeq_114:seq5_4	0.9920116194625999	0.8581228867662705654	0.8581228867662705654	0.68494633179621144676	NA
origSeq_114:seq5_35	0.9934693877551021	0.8625322700858559952	0.8625322700858559952	0.6588119499841235245	NA
origSeq_114:seq5_147	0.9816993464052287	0.8625653046232398753	0.8625653046232398753	0.62514101890396519157	NA
origSeq_114:origSeq_18	0.9735599622285175	0.8248312134567061553	0.8248312134567061553	0.6880929825697614994	NA
origSeq_114:seq5_45	0.9922705314009662	0.87109363963193390683	0.87109363963193390683	0.6775259016956394647	NA
origSeq_114:seq5_78	0.9958881578947368	0.85648755078278703977	0.85648755078278703977	0.6217311697864530624	NA
origSeq_114:origSeq_19	0.9929577464788732	0.864097002159420493	0.864097002159420493	0.7127072992720346722	NA
origSeq_114:seq5_61	0.9963985594237695	0.8633972341634705846	0.8633972341634705846	0.69296751202420592513	NA
origSeq_114:seq5_71	0.9855769230769231	0.85698240267051917695	0.85698240267051917695	0.69859364709409185154	NA
origSeq_114:seq5_195	0.989778534923339	0.8648568983739414233	0.8648568983739414233	0.6306613159405547828	NA
origSeq_115:origSeq_124	1.0	0.85158478354727271294	0.85158478354727271294	0.7181923858240468123	NA
origSeq_115:origSeq_192	1.0	0.8563495195625479393	0.8563495195625479393	0.72852628497592923325	NA
origSeq_115:origSeq_155	1.0	0.86219421947480155813	0.86219421947480155813	0.73272156100397226844	NA
origSeq_115:origSeq_178	1.0	0.85293454606456230237	0.85293454606456230237	0.73020312892199388947	NA
origSeq_115:origSeq_91	1.0	0.8478287872928878889	0.8478287872928878889	0.7203272494246445608	NA
origSeq_115:origSeq_186	1.0	0.86286632154421274944	0.86286632154421274944	0.70066152080296577613	NA
origSeq_115:origSeq_132	1.0	0.8655085789827375579	0.8655085789827375579	0.71435510613046610185	NA
origSeq_115:origSeq_55	0.998	0.85385312506964021896	0.85385312506964021896	0.7320902370865275357	NA
origSeq_115:origSeq_130	0.9961817487590684	0.84742733964753222013	0.84742733964753222013	0.7195028384943441789	NA
origSeq_115:seq5_127	1.0	0.8587300415351038945	0.8587300415351038945	0.6637279822984547565	NA
origSeq_115:seq5_191	1.0	0.86501727672903846523	0.86501727672903846523	0.6612333267688469951	NA
origSeq_115:seq5_161	1.0	0.87454409500527175044	0.87454409500527175044	0.6600310065317108058	NA
origSeq_115:seq5_93	1.0	0.8560854666957807697	0.8560854666957807697	0.6530958767185769076	NA
origSeq_115:seq5_142	1.0	0.8572531367809150294	0.8572531367809150294	0.6483314827381593135	NA
origSeq_115:seq5_171	1.0	0.86609053048034873864	0.86609053048034873864	0.6638353827114509256	NA
origSeq_115:seq5_18	1.0	0.85419015852390866065	0.85419015852390866065	0.6584335133800900525	NA
origSeq_115:seq5_188	1.0	0.85898020267968701227	0.85898020267968701227	0.6401142533208859615	NA
origSeq_115:seq5_88	0.9925173703901656	0.85750336741034895855	0.85750336741034895855	0.66307083195619486636	NA
origSeq_115:origSeq_165	0.997864768683274	0.84471670444644502394	0.84471670444644502394	0.7340807710447216768	NA
origSeq_115:origSeq_122	0.972463768115942	0.8337693223595860245	0.8337693223595860245	0.69906295993531697566	NA
origSeq_115:seq5_123	1.0	0.8732241185159441674	0.8732241185159441674	0.64568666370936912756	NA
origSeq_115:origSeq_20	0.9907881269191402	0.8461176911683131438	0.8461176911683131438	0.7401144826703050838	NA
origSeq_115:seq5_4	0.9885468861846815	0.8489645883237258897	0.8489645883237258897	0.65189039651271851977	NA
origSeq_115:seq5_177	0.9991803278688525	0.87758623569211057495	0.87758623569211057495	0.68462061847667310513	NA
origSeq_115:seq5_106	0.9836629406706793	0.83853861211357378486	0.83853861211357378486	0.6444060926270453333	NA
origSeq_115:seq5_78	0.9958263772954925	0.8616386768666986647	0.8616386768666986647	0.64168458648742366426	NA
origSeq_115:seq5_13	0.9940179461615155	0.8419655982073882483	0.8419655982073882483	0.65242027981295361755	NA
origSeq_115:seq5_45	0.991332611050921	0.85796177003884116285	0.85796177003884116285	0.66011841355728644113	NA
origSeq_115:origSeq_43	0.9667774086378738	0.83395172338835153703	0.83395172338835153703	0.74082272718911123947	NA
origSeq_115:seq5_61	0.9832635983263598	0.8435253791347307998	0.8435253791347307998	0.6875037729733698877	NA
origSeq_115:seq5_71	0.9819639278557114	0.8664900627005982712	0.8664900627005982712	0.69825321008140383417	NA
origSeq_115:seq5_155	0.9694117647058823	0.85314075576720441613	0.85314075576720441613	0.626164248924688677	NA
origSeq_116:origSeq_189	1.0	0.8577564289647202647	0.8577564289647202647	0.72051560545011581393	NA
origSeq_116:origSeq_190	1.0	0.8594037803477654651	0.8594037803477654651	0.71314203718091467187	NA
origSeq_116:origSeq_129	0.9998804042336902	0.86239771621721743815	0.86239771621721743815	0.71538751394332624774	NA
origSeq_116:origSeq_187	1.0	0.8635847958800711416	0.8635847958800711416	0.7115480681176087268	NA
origSeq_116:origSeq_191	0.9993850358729074	0.8602827433912772453	0.8602827433912772453	0.7118744165579218557	NA
origSeq_116:seq5_91	1.0	0.8639219010161609452	0.8639219010161609452	0.65087247941572168644	NA
origSeq_116:origSeq_152	0.9992723568362075	0.8639374210259599294	0.8639374210259599294	0.7129927502311480731	NA
origSeq_116:origSeq_96	0.9763876363040092	0.83922455331426209	0.83922455331426209	0.69335289916034270564	NA
origSeq_116:origSeq_156	0.9993646759847522	0.8534740532509372002	0.8534740532509372002	0.7112858755816414326	NA
origSeq_116:origSeq_60	0.9993818984547461	0.8609822075496634054	0.8609822075496634054	0.7176421148334606278	NA
origSeq_116:seq5_100	0.9997857754927164	0.86836506274197638127	0.86836506274197638127	0.6560292682963470647	NA
origSeq_116:origSeq_172	0.9986258702821547	0.86166631199937462253	0.86166631199937462253	0.71995243721811468587	NA
