seq2_180	seq2_81	1670	0	-	+	+	100	0	14912	0	s	s
seq2_180	seq2_119	7751	0	-	+	+	100	0	14858	0	s	s
seq2_81	seq2_119	6093	0	-	+	+	59	0	8819	0	s	s
seq2_180	seq2_130	9397	0	-	+	+	100	0	6522	0	s	s
seq2_81	seq2_130	7729	0	-	+	+	100	0	6522	0	s	s
seq2_119	seq2_130	1650	0	-	+	+	100	0	6522	0	s	s
seq2_180	seq2_47	9846	0	-	+	+	100	0	8392	0	s	s
seq2_81	seq2_47	8182	0	-	+	+	80	0	6730	0	s	s
seq2_119	seq2_47	2066	0	-	+	+	100	0	8392	0	s	s
seq2_130	seq2_47	463	0	-	+	+	93	0	6059	0	s	s
seq2_180	seq2_153	11166	0	-	+	+	100	0	3494	0	s	s
seq2_81	seq2_153	9515	0	-	+	+	100	0	3494	0	s	s
seq2_119	seq2_153	3429	0	-	+	+	100	0	3494	0	s	s
seq2_130	seq2_153	1768	0	-	+	+	100	0	3494	0	s	s
seq2_47	seq2_153	1311	0	-	+	+	100	0	3494	0	s	s
seq2_180	seq2_161	11837	0	-	+	+	63	0	13423	0	s	s
seq2_81	seq2_161	10127	0	-	+	+	32	0	4785	0	s	s
seq2_119	seq2_161	4064	0	-	+	+	73	0	10794	0	s	s
seq2_130	seq2_161	2386	0	-	+	+	63	0	4136	0	s	s
seq2_47	seq2_161	1970	0	-	+	+	77	0	6422	0	s	s
seq2_153	seq2_161	625	0	-	+	+	82	0	2869	0	s	s
seq2_180	seq2_75	12222	0	-	+	+	100	0	5195	0	s	s
seq2_81	seq2_75	10533	0	-	+	+	84	0	4379	0	s	s
seq2_119	seq2_75	4451	0	-	+	+	100	0	5195	0	s	s
seq2_130	seq2_75	2812	0	-	+	+	71	0	3710	0	s	s
seq2_47	seq2_75	2378	0	-	+	+	100	0	5195	0	s	s
seq2_153	seq2_75	1024	0	-	+	+	71	0	2470	0	s	s
seq2_161	seq2_75	423	0	-	+	+	100	0	5195	0	s	s
seq2_180	seq2_112	13030	0	-	+	+	65	0	12230	0	s	s
seq2_81	seq2_112	11338	0	-	+	+	24	0	3574	0	s	s
seq2_119	seq2_112	5284	0	-	+	+	64	0	9574	0	s	s
seq2_130	seq2_112	3624	0	-	+	+	44	0	2898	0	s	s
seq2_47	seq2_112	3203	0	-	+	+	62	0	5189	0	s	s
seq2_153	seq2_112	1873	0	-	+	+	46	0	1621	0	s	s
seq2_161	seq2_112	875	0	-	+	+	100	0	18747	0	s	s
seq2_75	seq2_112	805	0	-	+	+	85	0	4390	0	s	s
seq2_180	seq2_187	13114	0	-	+	+	77	0	12146	0	s	s
seq2_81	seq2_187	11493	0	-	+	+	23	0	3419	0	s	s
seq2_119	seq2_187	5356	0	-	+	+	64	0	9502	0	s	s
seq2_130	seq2_187	3774	0	-	+	+	42	0	2748	0	s	s
seq2_47	seq2_187	3330	0	-	+	+	60	0	5062	0	s	s
seq2_153	seq2_187	1996	0	-	+	+	43	0	1498	0	s	s
seq2_161	seq2_187	1291	0	-	+	+	100	0	15869	0	s	s
seq2_75	seq2_187	954	0	-	+	+	82	0	4241	0	s	s
seq2_112	seq2_187	76	0	-	+	+	100	0	15869	0	s	s
seq2_180	seq2_197	13566	0	-	+	+	84	0	11694	0	s	s
seq2_81	seq2_197	11920	0	-	+	+	22	0	2992	0	s	s
seq2_119	seq2_197	5797	0	-	+	+	65	0	9061	0	s	s
seq2_130	seq2_197	4201	0	-	+	+	36	0	2321	0	s	s
seq2_47	seq2_197	3748	0	-	+	+	55	0	4644	0	s	s
seq2_153	seq2_197	2426	0	-	+	+	31	0	1068	0	s	s
seq2_161	seq2_197	1757	0	-	+	+	100	0	13902	0	s	s
seq2_75	seq2_197	1373	0	-	+	+	74	0	3822	0	s	s
seq2_112	seq2_197	551	0	-	+	+	100	0	13902	0	s	s
seq2_187	seq2_197	469	0	-	+	+	100	0	13902	0	s	s
seq2_180	seq2_72	13659	0	-	+	+	74	0	11601	0	s	s
seq2_81	seq2_72	12008	0	-	+	+	19	0	2904	0	s	s
seq2_119	seq2_72	5908	0	-	+	+	60	0	8950	0	s	s
seq2_130	seq2_72	4285	0	-	+	+	34	0	2237	0	s	s
seq2_47	seq2_72	3845	0	-	+	+	54	0	4547	0	s	s
seq2_161	seq2_72	1811	0	-	+	+	100	0	15592	0	s	s
seq2_75	seq2_72	1462	0	-	+	+	72	0	3733	0	s	s
seq2_112	seq2_72	597	0	-	+	+	100	0	15592	0	s	s
seq2_187	seq2_72	523	0	-	+	+	98	0	15346	0	s	s
seq2_197	seq2_72	59	0	-	+	+	100	0	13843	0	s	s
seq2_180	seq2_45	13891	0	-	+	+	100	0	4201	0	s	s
seq2_81	seq2_45	12195	0	-	+	+	65	0	2717	0	s	s
seq2_119	seq2_45	6101	0	-	+	+	100	0	4201	0	s	s
seq2_130	seq2_45	4468	0	-	+	+	49	0	2054	0	s	s
seq2_47	seq2_45	4044	0	-	+	+	100	0	4201	0	s	s
seq2_161	seq2_45	2069	0	-	+	+	100	0	4201	0	s	s
seq2_75	seq2_45	1645	0	-	+	+	85	0	3550	0	s	s
seq2_112	seq2_45	845	0	-	+	+	100	0	4201	0	s	s
seq2_187	seq2_45	709	0	-	+	+	100	0	4201	0	s	s
seq2_197	seq2_45	298	0	-	+	+	100	0	4201	0	s	s
seq2_72	seq2_45	192	0	-	+	+	100	0	4201	0	s	s
seq2_180	seq2_182	14897	0	-	+	+	100	0	6745	0	s	s
seq2_81	seq2_182	13234	0	-	+	+	25	0	1678	0	s	s
seq2_119	seq2_182	7140	0	-	+	+	100	0	6745	0	s	s
seq2_130	seq2_182	5503	0	-	+	+	16	0	1019	0	s	s
seq2_47	seq2_182	5071	0	-	+	+	49	0	3321	0	s	s
seq2_161	seq2_182	3067	0	-	+	+	100	0	6745	0	s	s
seq2_75	seq2_182	2695	0	-	+	+	48	0	2500	0	s	s
seq2_112	seq2_182	1852	0	-	+	+	100	0	6745	0	s	s
seq2_187	seq2_182	1775	0	-	+	+	100	0	6745	0	s	s
seq2_197	seq2_182	1349	0	-	+	+	100	0	6745	0	s	s
