KEY 	 ALPHA 	 GAPS 	 MATCHES 	 ALL 	 OVERLAP_TYPE 
origSeq_1-origSeq_192	0.9913097454996896	0.15165911160632399952	0.6202566428791394837	0.41350712399175370768	Good Overlap
origSeq_1-origSeq_66	0.986232790988736	0.13780562853565848	0.6171069830807246858	0.4129293440250513108	Good Overlap
origSeq_1-origSeq_124	0.9911949685534591	0.13384338343871930473	0.6074849562214401446	0.3985202631253641691	Good Overlap
origSeq_1-origSeq_89	0.9782813975448537	0.13711429556662777397	0.6103034077629008057	0.40746284762892468655	Good Overlap
origSeq_1-origSeq_90	0.9905571293673276	0.15063257870085573053	0.6135471543097677778	0.40611210785809076452	Good Overlap
origSeq_1-origSeq_70	0.9905571293673276	0.15440699249315827178	0.615796514706122294	0.40969330661807597355	Good Overlap
origSeq_1-origSeq_165	0.991214308126765	0.14173731425659115566	0.6066599091136657885	0.39708539716267371602	Good Overlap
origSeq_1-origSeq_153	0.9899276046584828	0.15137335220475397275	0.6066020141153500263	0.40090384228432926855	Good Overlap
origSeq_1-origSeq_100	0.9911866540761725	0.15964574108754475362	0.6133346203603789805	0.4074903313975854865	Good Overlap
origSeq_1-origSeq_134	0.9906308557151781	0.14449519313397024656	0.59575561531355450233	0.38639716151620850517	Good Overlap
origSeq_1-origSeq_104	0.9905778894472361	0.14153076384497701866	0.59429637257482874823	0.38483276739822486044	Good Overlap
origSeq_1-origSeq_139	0.9905571293673276	0.14448479178642245354	0.59739544855638762903	0.38816491086800237843	Good Overlap
origSeq_1-origSeq_86	0.990975935828877	0.17451635868948997817	0.6301044164888702067	0.4283200400954966356	Good Overlap
origSeq_1-origSeq_181	0.9899276046584828	0.14938264466409884428	0.5998677715105336762	0.3929877446610955503	Good Overlap
origSeq_1-origSeq_186	0.9923890063424947	0.13784333944685075817	0.61729904922113633186	0.4117715084581671998	Good Overlap
origSeq_1-origSeq_145	0.9765494137353434	0.16892671130440633964	0.6159196202695195857	0.41565996029704161988	Good Overlap
origSeq_1-origSeq_45	0.9974126778783958	0.15870648653593102048	0.61164192659697901315	0.40342688206547858257	Good Overlap
origSeq_1-origSeq_155	0.9621542940320232	0.11490638149884878261	0.5895668012377388819	0.38748419313102768947	Good Overlap
origSeq_1-origSeq_53	0.9664218258132214	0.1537137087239190758	0.56419400913160245545	0.354813065105359572	Good Overlap
origSeq_1-origSeq_164	0.9422680412371134	0.14460443870038035098	0.5197132596017988504	0.31962737901906513357	Good Overlap
origSeq_2-origSeq_93	0.9908116385911179	0.119344222471162770436	0.6299818289304194863	0.4272736563400971693	Good Overlap
origSeq_2-origSeq_68	0.9946544482626957	0.13710069832468943273	0.62564698028432059253	0.4208430703301219358	Good Overlap
origSeq_2-origSeq_80	0.9900166389351082	0.13033801124617402077	0.6117310734542485547	0.4054768821327925112	Good Overlap
origSeq_2-origSeq_62	0.9725274725274725	0.16387955993944915569	0.6491832979318054323	0.45651041832163845346	Good Overlap
origSeq_3-origSeq_51	0.9873320537428023	0.120539998753941491866	0.62392559424169526154	0.41705313675006440918	Good Overlap
origSeq_3-origSeq_73	0.989938080495356	0.13706707945775947521	0.62126902146958650457	0.41691291798809984102	Good Overlap
origSeq_3-origSeq_34	0.9814200398142005	0.13178604606681797255	0.6179266789056500311	0.4126070346302490027	Good Overlap
origSeq_3-origSeq_85	0.9301587301587302	0.13749375422516499435	0.62451035929914937636	0.43882932964096299245	Good Overlap
origSeq_5-origSeq_95	0.9897377423033067	0.157497755316829737	0.64704860058180161585	0.4481741304833883899	Good Overlap
origSeq_5-origSeq_97	0.989749430523918	0.12612832978886055317	0.61575969054239698756	0.4092940500845148189	Good Overlap
origSeq_5-origSeq_60	0.9825581395348837	0.14061504407057100096	0.61744957455329298185	0.41205428268541151185	Good Overlap
origSeq_5-origSeq_57	0.9792147806004619	0.1546047327470823618	0.6005070247001904851	0.39384913311551042199	Good Overlap
origSeq_5-origSeq_82	0.9908151549942594	0.16169266842499874504	0.60014929811802552543	0.39218014079499593274	Good Overlap
origSeq_5-origSeq_96	0.9907407407407407	0.14327857772726051094	0.59924839408394138415	0.3925806757341000254	Good Overlap
origSeq_5-origSeq_76	0.9907407407407407	0.1440481891969125554	0.5797900223166545497	0.3691187666098770511	Good Overlap
origSeq_5-origSeq_59	0.9419354838709677	0.13478302090699005201	0.6086484632053003981	0.41728020560770208623	Good Overlap
origSeq_6-origSeq_89	0.9949820788530466	0.11915335677513762607	0.6469217184317806361	0.4467539357738103276	Good Overlap
origSeq_6-origSeq_90	0.9949820788530466	0.1425145716782148064	0.6554502933729182381	0.45381817992600369455	Good Overlap
origSeq_6-origSeq_91	0.9949820788530466	0.12821867824579497376	0.6482427953011533895	0.44431619839133025627	Good Overlap
origSeq_6-origSeq_78	0.9949820788530466	0.13831359339863900867	0.65350002408163668455	0.45366949590288292032	Good Overlap
origSeq_6-origSeq_83	0.9587020648967551	0.12100374101974558919	0.6068586724964422728	0.4086752333919686817	Good Overlap
origSeq_6-origSeq_66	0.9594594594594594	0.13760753399923867999	0.6175715821594847797	0.4213758854959624089	Good Overlap
origSeq_6-origSeq_70	0.9868421052631579	0.14667490547604259732	0.6405031326189257049	0.43996152897079873132	Good Overlap
origSeq_7-origSeq_82	0.9980168567178979	0.120716121179029346775	0.6209325522375378507	0.4106131234043827562	Good Overlap
origSeq_7-origSeq_95	0.9979989994997499	0.13414773557049091604	0.61630435986758360316	0.40918293829354579193	Good Overlap
origSeq_7-origSeq_96	0.9799899949974987	0.14299568400118122743	0.6176179715611398043	0.41679467870538298665	Good Overlap
